Tissue,BroadID,Release,PMID,Organism,Platform,PlatformDescription,PlatformAccesionID,DataAccessionID,SigID,SigName,SigDescription,Comment,Keywords,URL,FileAssociated,GenesBroad,GenesArticle,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,,
Lymphoma,,R3,9823299,Human,Custom cDNA Array,cDNA microarrays containing 1238 cDNAs to investigate the gene expression profile,,,9823299-Figure3,Khan98_37genes_Lymphoma,Fig. 3. Genes overexpressed in ARMS. Thirtyseven genes that were highly expressed relative to the referenee probe,Thirtyseven genes that were highly expressed relative to the referenee probe in at least four of seven ARMS and their functions arc listed in thefirsi and second columns. The third column indicates the number of ARMS cell lines in which each gene is up-regulated  compared with the control at a level greater than the 99% confidence interval  and the fourth column provides Ihe UniGene cluster designation. The expression ratios from each cell line are colorcoded: reu. overexprcssion; green  reduced expression in the tumor compared with the control cell line. When the ratios of expression exceed the 99% confidence interval  the saturation of red or green increases in proportion to the ratio. A ratio color scale is shown at the hortotn. The numerical data and the hyhridi/ation images for each cell line are available on the Internet.,,,9823299-Figure3.txt,,37,Gene Symbol,Gene Description,UniGene ID,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,
Breast,,R3,10445855,Human,Custom cDNA Array,1045 human cDNA clones used in the study were obtained from the IMAGE consortium,,,10445855-Figure3,Bertucci02_121genes_Breast,Figure 3. Set of 121 IMAGE ID clones that were used to examine the gene expression profiles of 6 cell lines. Genes were selected from a set of 128 genes known for their proven or putative implication in breast cancer and 65 genes implicated in immune reactions. ,,,,10445855-Figure3.txt,,121,Clone ID,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Other Gene Description,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,10521349,Human,affy_HuGeneFL,hybridized to high-density oligonucleotide microarrays  produced by Affymetrix and containing probes for 6817 human genes,,,10521349-Figure3,Golub99_50genes_Lymphoma,Figure 3. Genes distinguishing ALL from AML. The 50 genes most highly correlated with the ALL-AML class distinction are show ,,,,10521349-Figure3.txt,,50,GenBank ID,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Breast,,R1,10582678,Human,Custom cDNA Array,cDNA GeneFilter arrays,,,10582678-Table1,Sgroi99_16genes_Breast,Table 1 Representative list of differentially expressed genes and their involvement in breast and/or other cancers,a GB  gene bank accession number.  b Fold change represents genes differentially overexpressed (positive numbers) and underexpressed (negative numbers) in invasive or metastatic carcinoma cells relative to normal epithelial cell gene expression.,,http://cancerres.aacrjournals.org.ezp-prod1.hul.harvard.edu/cgi/content/full/59/22/5656/T1,10582678-Table1.txt,,16,Clone ID,GenBank ID,Gene Description,Geneset Specific Statistics,Gene Description,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium,,R5,10799483,Human,Custom cDNA Array,"The GF211 Human “Named Genes” GeneFilter Release I from Research Genetics Inc. (Huntsville, AL) and the Atlas Cytokine/Receptor cDNA Expression Array from CLONTECH Laboratories (Palo Alto, CA).",,,10799483-Table2a,Eckmann99_30genes_Mycobacterium,"Table 2a. HT-29 monolayers were infected with S. dublin or left uninfected as controls, and total RNA was extracted at 3, 8, and 20 h after infection.  For the 3 h time point, the 30 highest increases are shown.",,,,10799483-Table2a.txt,,30,Geneset Specific Statistics,Probe ID,Gene Description,GenBank ID,Other Gene Description,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium,,R5,10799483,Human,Custom cDNA Array,"The GF211 Human “Named Genes” GeneFilter Release I from Research Genetics Inc. (Huntsville, AL) and the Atlas Cytokine/Receptor cDNA Expression Array from CLONTECH Laboratories (Palo Alto, CA).",,,10799483-Table2b,Eckmann99_10genes_Mycobacterium,"Table 2b. HT-29 monolayers were infected with S. dublin or left uninfected as controls, and total RNA was extracted at 3, 8, and 20 h after infection. Radioactive cDNA was prepared and hybridized to the GF211 Human “Known Genes” GeneFilter Release I membranes, which carries ;4,000 cDNA EST probes. The manufacturer of the GF211 GeneFilter membrane (Research Genetics) conducted homology searches for the ESTs using standard DNA databases and assigned names of known genes to the probes. These assignments were carefully checked for all probes shown in the table and several additional probes and were found to be correct for 78% (50 of 64) of all EST probes reanalyzed. No good matches (i.e. those encompassing at least 100 base pairs with at least 98% homology located at the 39 end of the cDNA of a known human gene) could be found for the remaining 22% (14 of 64) of EST probes, using the BLAST search capability of the GenBank™ database. Results from these poorly matching EST probes were discarded for the present studies, because they did not represent known human genes. Data from the cDNA probes with good matches, including their accession numbers and the names, accession numbers, and selected characteristics and functions of the genes showing the best matches in the homology searches, are shown in the table. For each time point after infection, results are arranged in order of decreasing relative mRNA expression after Salmonella infection compared with uninfected controls. For the 8 h time point, the 10 highest increases are shown of those genes that are not already included in the 3 h point.",,,,10799483-Table2b.txt,,10,Geneset Specific Statistics,Probe ID,Gene Description,GenBank ID,Other Gene Description,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium,,R5,10799483,Human,Custom cDNA Array,"The GF211 Human “Named Genes” GeneFilter Release I from Research Genetics Inc. (Huntsville, AL) and the Atlas Cytokine/Receptor cDNA Expression Array from CLONTECH Laboratories (Palo Alto, CA).",,,10799483-Table2c,Eckmann99_10genes_Mycobacterium,"Table 2c. HT-29 monolayers were infected with S. dublin or left uninfected as controls, and total RNA was extracted at 3, 8, and 20 h after infection. For the 20 h time point, the 10 highest increases are shown of those genes that are not already included in the 3 or 8 h points.",,,,10799483-Table2c.txt,,10,Geneset Specific Statistics,Probe ID,Gene Description,GenBank ID,Other Gene Description,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium,,R5,10799483,Human,Custom cDNA Array,"The GF211 Human “Named Genes” GeneFilter Release I from Research Genetics Inc. (Huntsville, AL) and the Atlas Cytokine/Receptor cDNA Expression Array from CLONTECH Laboratories (Palo Alto, CA).",,,10799483-Table3,Eckmann99_23genes_Mycobacterium,"Table 3. HT-29 monolayers were infected with S. dublin or left uninfected as controls, and total RNA was extracted 3 h after infection.  Top genes among 277 genes after Salmonella infection compared with uninfected controls. A number of genes that were significantly expressed in controls and Salmonella-infected cells, but whose mRNA expression showed relatively little change after infection, with expression ratios between 2 and 0.5 in infected versus controls cells. Among these were the following genes (with mRNA expression ratios and cDNA accession numbers given in parentheses): c-Met (ratio 0.9, accession number J02958), pleiotrophin (1.2, X52946), thymosin b10 (1.3, M92381), IL-4 receptor a chain (1.4, X52425), IFN-g receptor (1.4, A09781), epidermal growth factor receptor (1.5, X00588), vascular endothelial growth factor (1.6, M32977), glyceraldehyde-3-phosphate dehydrogenase (1.7, X01677), and b-actin (1.8, X00351).",,,,10799483-Table3.txt,,23,Geneset Specific Statistics,Probe ID,Gene Description,Geneset Specific Factor,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Mycobacterium,,R5,10821843,Human,affy_HuGeneFL,"Affymetrix huGene FL arrays (Santa Clara, CA)",,,10821843-Table1,Derocq00_10genes_Mycobacterium,"Table 1 . Cannabinoid-induced modulation of genes in CB2-HL-60  (cells treated or not with 10 nM CP 55,940 for 1 h) ",,,,10821843-Table1.txt,,10,Gene Description,Gene Symbol,GenBank ID,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,
Breast,,R1,11004666,Human,Clontech_Atlas_13K,Clontech human cancer cDNA array,,,11004666-Table1,Rinehart-Kim00_21genes_MCF7cells_Breast,Table I. TARGET GENES IDENTIFIED IN MCF-7 BREAST TUMOR CELLS IN RESPONSE TO C-JUN,,,http://www3.interscience.wiley.com.ezp-prod1.hul.harvard.edu/cgi-bin/fulltext/73500331/HTMLSTART,11004666-Table1.txt,,21,Gene Description,Gene Description,GenBank ID,Other Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,
