Tags,Type,DB Ref,Code,
(“breast tumor” OR “breast cancer” OR “breast tumour” OR “breast carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“colon tumor” OR “colon cancer” OR “colon tumour” OR “colon carcinoma” OR “rectal tumor” OR “rectal cancer” OR “rectal tumour” OR “rectal carcinoma” OR “colonic tumor” OR “colonic cancer” OR “colonic tumour” OR “colonic carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“lung tumor” OR “lung cancer” OR “lung tumour” OR “lung carcinoma” OR “pulmonary tumor” OR “pulmonary cancer” OR “pulmonary tumour” OR “pulmonary carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“Pancreas tumor” OR “Pancreas cancer” OR “Pancreas tumour” OR “Pancreas carcinoma” OR “pancreatic tumor” OR “pancreatic cancer” OR “pancreatic tumour” OR “pancreatic carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“Prostatic tumor” OR “Prostatic cancer” OR “Prostatic tumour” OR “Prostatic carcinoma” OR “prostate tumor” OR “prostate cancer” OR “prostate tumour” OR “prostate carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“hepatocellular tumor” OR “hepatocellular cancer” OR “hepatocellular tumour” OR “hepatocellular carcinoma” OR “hepatic tumor” OR “hepatic cancer” OR “hepatic tumour” OR “hepatic carcinoma” OR “liver tumor” OR “liver cancer” OR “liver tumour” OR “liver carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“stomach tumor” OR “stomach cancer” OR “stomach tumour” OR “stomach carcinoma” OR “gastric tumor” OR “gastric cancer” OR “gastric tumour” OR “gastric carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“uterine tumor” OR “uterine cancer” OR “uterine tumour” OR “uterine carcinoma” OR “uterus tumor” OR “uterus cancer” OR “uterus tumour” OR “uterus carcinoma” OR “cervical tumor” OR “cervical cancer” OR “cervical tumour” OR “cervical carcinoma” OR “endometrial tumor” OR “endometrial cancer” OR “endometrial tumour” OR “endometrial carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“thyroid tumor” OR “thyroid cancer” OR “thyroid tumour” OR “thyroid carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“bladder tumor” OR “bladder cancer” OR “bladder tumour” OR “bladder carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
